SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPMP
1,31-Mar-20,EQ,"2,234.80","2,313.00","2,185.00","2,184.35","2,298.50","2,298.50","2,260.32","2,313.00","1,650.00",2809285,"6,349,879,035.90",125401,73.83552843,1,45.55,183.77,16.96
2,1-Apr-20,EQ,"2,293.20","2,324.90","2,158.05","2,298.50","2,179.00","2,179.65","2,219.18","2,324.90","1,650.00",2774689,"6,157,534,508.45",174853,70.01766784,1,45.55,183.77,16.96
3,3-Apr-20,EQ,"2,234.00","2,254.10","2,127.95","2,179.65","2,153.00","2,154.10","2,183.12","2,324.90","1,650.00",4121462,"8,997,633,126.15",217202,69.19691616,1,45.55,183.77,16.96
4,7-Apr-20,EQ,"2,220.00","2,460.00","2,220.00","2,154.10","2,449.00","2,444.90","2,361.65","2,460.00","1,656.00",8510183,"20,098,061,022.85",356119,78.53838741,1,45.55,183.77,16.96
5,8-Apr-20,EQ,"2,432.00","2,614.30","2,417.40","2,444.90","2,455.00","2,460.85","2,520.36","2,614.30","1,656.00",9791892,"24,679,065,797.20",415294,79.0507549,1,45.55,183.77,16.96
6,9-Apr-20,EQ,"2,499.95","2,500.00","2,345.00","2,460.85","2,378.65","2,372.25","2,386.62","2,614.30","1,656.00",4770083,"11,384,386,831.30",282099,76.20462576,1,45.55,183.77,16.96
7,13-Apr-20,EQ,"2,381.00","2,423.00","2,315.00","2,372.25","2,350.50","2,346.45","2,352.69","2,614.30","1,656.00",3249562,"7,645,203,672.85",190144,75.37584324,1,45.55,183.77,16.96
8,15-Apr-20,EQ,"2,425.95","2,516.60","2,381.50","2,346.45","2,473.00","2,487.55","2,477.16","2,614.30","1,656.00",29485532,"73,040,325,455.05",484212,79.90844844,1,45.55,183.77,16.96
9,16-Apr-20,EQ,"2,466.00","2,526.15","2,421.10","2,487.55","2,443.00","2,436.10","2,462.60","2,614.30","1,656.00",5388258,"13,269,113,039.85",296531,78.2557019,1,45.55,183.77,16.96
10,17-Apr-20,EQ,"2,498.80","2,498.80","2,354.05","2,436.10","2,387.00","2,385.00","2,395.27","2,614.30","1,656.00",4540967,"10,876,855,176.60",266225,76.61419852,1,45.55,183.77,16.96
11,20-Apr-20,EQ,"2,420.00","2,420.00","2,321.00","2,385.00","2,344.00","2,336.55","2,346.54","2,614.30","1,656.00",2985278,"7,005,059,781.75",165896,75.05782204,1,45.55,183.77,16.96
12,21-Apr-20,EQ,"2,283.00","2,378.00","2,282.00","2,336.55","2,310.05","2,317.40","2,336.57","2,614.30","1,656.00",3227339,"7,540,909,685.15",153513,74.44265981,1,45.55,183.77,16.96
13,22-Apr-20,EQ,"2,317.95","2,399.95","2,275.65","2,317.40","2,390.00","2,386.15","2,344.36","2,614.30","1,656.00",2837835,"6,652,905,717.80",160575,76.65114038,1,45.55,183.77,16.96
14,23-Apr-20,EQ,"2,389.00","2,413.00","2,308.05","2,386.15","2,321.00","2,317.50","2,351.23","2,614.30","1,656.00",4095595,"9,629,682,937.05",192550,74.44587215,1,45.55,183.77,16.96
15,24-Apr-20,EQ,"2,311.00","2,338.00","2,280.00","2,317.50","2,285.00","2,283.10","2,298.16","2,614.30","1,656.00",2169013,"4,984,728,420.90",100504,73.34082878,1,45.55,183.77,16.96
16,27-Apr-20,EQ,"2,305.00","2,329.40","2,283.25","2,283.10","2,321.35","2,320.45","2,310.29","2,614.30","1,656.00",2013737,"4,652,308,907.20",108209,74.54063604,1,45.55,183.77,16.96
17,28-Apr-20,EQ,"2,338.65","2,338.65","2,267.00","2,320.45","2,292.50","2,289.95","2,289.44","2,614.30","1,656.00",2164048,"4,954,458,136.65",126130,73.56087376,1,45.55,183.77,16.96
18,29-Apr-20,EQ,"2,290.00","2,291.70","2,221.00","2,289.95","2,234.00","2,231.75","2,250.39","2,614.30","1,656.00",3642216,"8,196,416,318.50",195321,71.69129457,1,45.55,183.77,16.96
19,30-Apr-20,EQ,"2,272.00","2,272.00","2,160.00","2,231.75","2,205.00","2,195.00","2,196.22","2,614.30","1,656.00",8448104,"18,553,889,548.05",380311,70.51076132,1,45.55,183.77,16.96
20,4-May-20,EQ,"2,130.00","2,160.00","2,066.00","2,195.00","2,087.05","2,082.65","2,107.14","2,614.30","1,656.00",8474699,"17,857,391,158.80",331282,66.90170254,1,45.55,183.77,16.96
21,5-May-20,EQ,"2,101.20","2,121.00","2,033.10","2,082.65","2,039.00","2,041.50","2,066.52","2,614.30","1,656.00",4304146,"8,894,603,581.95",181077,65.57982653,1,45.55,183.77,16.96
22,6-May-20,EQ,"2,049.95","2,073.00","2,000.00","2,041.50","2,001.80","2,010.20","2,035.27","2,614.30","1,656.00",5127756,"10,436,392,839.05",202349,64.57436556,1,45.55,183.77,16.96
23,7-May-20,EQ,"1,950.10","2,007.00","1,902.00","2,010.20","1,998.00","1,992.05","1,919.71","2,614.30","1,656.00",185670048,"356,433,416,767.65",946784,63.99132669,1,45.55,183.77,16.96
24,8-May-20,EQ,"2,074.95","2,098.00","2,036.00","1,992.05","2,077.85","2,089.45","2,062.40","2,614.30","1,656.00",16100488,"33,205,666,182.30",484036,67.12014134,1,45.55,183.77,16.96
25,11-May-20,EQ,"2,083.00","2,116.55","2,035.95","2,089.45","2,044.70","2,048.00","2,069.09","2,614.30","1,659.05",11158836,"23,088,625,316.15",288406,65.78862833,1,45.55,183.77,16.96
26,12-May-20,EQ,"2,020.00","2,027.85","1,985.00","2,048.00","2,013.00","2,011.55","2,002.83","2,614.30","1,659.05",14881259,"29,804,577,535.10",466557,64.61773209,1,45.55,183.77,16.96
27,13-May-20,EQ,"2,075.00","2,075.00","1,975.40","2,011.55","2,008.65","1,995.75","2,012.28","2,614.30","1,659.05",8432991,"16,969,568,017.55",361624,64.1101831,1,45.55,183.77,16.96
28,14-May-20,EQ,"1,988.00","2,026.55","1,980.65","1,995.75","2,003.00","2,006.05","2,007.14","2,614.30","1,659.05",8510097,"17,080,978,390.65",268615,64.44105365,1,45.55,183.77,16.96
29,15-May-20,EQ,"2,015.00","2,037.65","2,006.00","2,006.05","2,034.95","2,032.10","2,021.73","2,614.30","1,659.05",5491176,"11,101,684,289.35",243593,65.27786701,1,45.55,183.77,16.96
30,18-May-20,EQ,"2,041.50","2,047.85","1,988.60","2,032.10","2,004.70","2,005.25","2,007.96","2,614.30","1,659.05",7675796,"15,412,686,469.90",265255,64.41535496,1,45.55,183.77,16.96
31,19-May-20,EQ,"2,018.00","2,024.80","1,968.10","2,005.25","1,976.90","1,975.55","1,988.52","2,614.30","1,659.05",5963269,"11,858,094,494.80",233042,63.46129136,1,45.55,183.77,16.96
32,20-May-20,EQ,"1,975.55","2,010.00","1,975.00","1,975.55","1,988.00","1,990.85","1,993.53","2,614.30","1,659.05",3927076,"7,828,736,279.65",154130,63.95277867,1,45.55,183.77,16.96
33,21-May-20,EQ,"1,999.00","2,003.40","1,955.20","1,990.85","1,970.70","1,970.90","1,978.75","2,614.30","1,659.05",4261738,"8,432,920,478.20",211274,63.31191776,1,45.55,183.77,16.96
34,22-May-20,EQ,"1,975.00","1,995.05","1,958.00","1,970.90","1,990.50","1,987.90","1,979.43","2,614.30","1,659.05",5340153,"10,570,432,887.15",201026,63.85801478,1,45.55,183.77,16.96
35,26-May-20,EQ,"2,004.95","2,020.00","1,975.00","1,987.90","1,979.50","1,977.80","1,999.26","2,614.30","1,659.05",4629114,"9,254,803,851.90",296939,63.5335689,1,45.55,183.77,16.96
36,27-May-20,EQ,"1,990.00","2,005.10","1,961.00","1,977.80","1,995.00","1,998.10","1,983.91","2,614.30","1,659.05",4261646,"8,454,725,111.85",211409,64.18567298,1,45.55,183.77,16.96
37,28-May-20,EQ,"2,000.00","2,015.00","1,990.00","1,998.10","2,004.25","2,009.95","2,005.19","2,614.30","1,659.05",5500915,"11,030,363,203.35",166186,64.56633473,1,45.55,183.77,16.96
38,29-May-20,EQ,"2,009.00","2,068.00","2,000.00","2,009.95","2,057.10","2,057.35","2,034.28","2,614.30","1,659.05",8779010,"17,858,932,220.15",238620,66.08898169,1,45.55,183.77,16.96
39,1-Jun-20,EQ,"2,075.00","2,143.00","2,071.20","2,057.35","2,108.60","2,108.55","2,111.99","2,614.30","1,659.05",6592707,"13,923,749,297.55",213628,67.7336974,1,45.55,183.77,16.96
40,2-Jun-20,EQ,"2,122.00","2,125.00","2,090.00","2,108.55","2,096.50","2,107.40","2,112.12","2,614.30","1,659.05",3268736,"6,903,962,233.95",153054,67.69675554,1,45.55,183.77,16.96
41,3-Jun-20,EQ,"2,115.00","2,149.00","2,085.00","2,107.40","2,123.00","2,120.50","2,116.68","2,614.30","1,659.05",4895141,"10,361,451,237.70",199497,68.11757147,1,45.55,183.77,16.96
42,4-Jun-20,EQ,"2,115.00","2,132.40","2,105.25","2,120.50","2,118.00","2,120.60","2,118.74","2,614.30","1,659.05",3264780,"6,917,212,086.40",149826,68.12078381,1,45.55,183.77,16.96
43,5-Jun-20,EQ,"2,124.00","2,128.00","2,085.00","2,120.60","2,087.05","2,087.60","2,095.92","2,614.30","1,659.05",2981896,"6,249,808,352.55",127882,67.06071314,1,45.55,183.77,16.96
44,8-Jun-20,EQ,"2,107.00","2,124.50","2,078.10","2,087.60","2,110.30","2,111.70","2,102.69","2,614.30","1,659.05",4298517,"9,038,459,134.45",226705,67.83488596,1,45.55,183.77,16.96
45,9-Jun-20,EQ,"2,100.00","2,144.80","2,095.05","2,111.70","2,102.00","2,106.50","2,124.08","2,614.30","1,659.05",3128155,"6,644,467,037.70",152965,67.66784452,1,45.55,183.77,16.96
46,10-Jun-20,EQ,"2,115.90","2,130.00","2,096.00","2,106.50","2,119.00","2,119.60","2,118.72","2,614.30","1,659.05",2421672,"5,130,844,702.80",128957,68.08866046,1,45.55,183.77,16.96
47,11-Jun-20,EQ,"2,115.00","2,138.20","2,095.65","2,119.60","2,107.90","2,106.90","2,118.00","2,614.30","1,659.05",2566963,"5,436,825,499.60",121007,67.68069386,1,45.55,183.77,16.96
48,12-Jun-20,EQ,"2,065.25","2,119.00","2,065.00","2,106.90","2,106.00","2,107.25","2,101.21","2,614.30","1,659.05",2338562,"4,913,816,130.80",113191,67.69193704,1,45.55,183.77,16.96
49,15-Jun-20,EQ,"2,114.85","2,131.70","2,056.80","2,107.25","2,079.50","2,084.30","2,092.56","2,614.30","1,659.05",2830788,"5,923,588,875.65",110390,66.95470607,1,45.55,183.77,16.96
50,16-Jun-20,EQ,"2,109.80","2,120.00","2,057.00","2,084.30","2,076.00","2,076.35","2,089.49","2,614.30","1,659.05",2806804,"5,864,800,682.00",107765,66.69932541,1,45.55,183.77,16.96
51,17-Jun-20,EQ,"2,076.00","2,099.00","2,062.30","2,076.35","2,079.00","2,078.25","2,082.87","2,614.30","1,659.05",2293343,"4,776,734,431.55",94264,66.76035978,1,45.55,183.77,16.96
52,18-Jun-20,EQ,"2,070.25","2,084.85","2,054.05","2,078.25","2,067.00","2,065.35","2,067.71","2,614.30","1,659.05",2326992,"4,811,549,620.00",99757,66.34596852,1,45.55,183.77,16.96
53,19-Jun-20,EQ,"2,079.00","2,100.00","2,057.00","2,065.35","2,093.50","2,092.75","2,080.59","2,614.30","1,659.05",4673557,"9,723,770,246.95",138770,67.22614841,1,45.55,183.77,16.96
54,22-Jun-20,EQ,"2,110.00","2,118.90","2,087.00","2,092.75","2,100.05","2,100.80","2,101.72","2,614.30","1,659.05",2487252,"5,227,506,643.30",108728,67.48474141,1,45.55,183.77,16.96
55,23-Jun-20,EQ,"2,115.00","2,172.00","2,101.60","2,100.80","2,157.55","2,155.95","2,150.63","2,614.30","1,659.05",4309193,"9,267,494,480.70",174720,69.25634436,1,45.55,183.77,16.96
56,24-Jun-20,EQ,"2,172.00","2,176.90","2,125.00","2,155.95","2,133.00","2,130.30","2,147.43","2,614.30","1,659.05",3023031,"6,491,752,829.05",152939,68.43238034,1,45.55,183.77,16.96
57,25-Jun-20,EQ,"2,114.30","2,189.90","2,112.00","2,130.30","2,157.20","2,173.15","2,164.58","2,614.30","1,659.05",8208083,"17,767,068,916.20",176752,69.80886605,1,45.55,183.77,16.96
58,26-Jun-20,EQ,"2,179.95","2,179.95","2,138.10","2,173.15","2,151.35","2,154.20","2,154.27","2,614.30","1,659.05",3176495,"6,843,040,249.25",126115,69.20012849,1,45.55,183.77,16.96
59,29-Jun-20,EQ,"2,151.35","2,195.90","2,140.00","2,154.20","2,180.50","2,182.95","2,180.76","2,614.30","1,659.05",3295050,"7,185,698,583.30",137344,70.12367491,1,45.55,183.77,16.96
60,30-Jun-20,EQ,"2,193.80","2,199.95","2,170.00","2,182.95","2,177.00","2,180.00","2,181.78","2,614.30","1,659.05",2373121,"5,177,632,179.70",110362,70.02891102,1,45.55,183.77,16.96
61,1-Jul-20,EQ,"2,183.00","2,191.80","2,160.10","2,180.00","2,168.15","2,170.40","2,171.35","2,614.30","1,659.05",1532935,"3,328,538,955.50",77798,69.72052682,1,45.55,183.77,16.96
62,2-Jul-20,EQ,"2,167.75","2,177.65","2,145.00","2,170.40","2,157.00","2,151.75","2,154.35","2,614.30","1,659.05",2588845,"5,577,272,658.85",111689,69.12142628,1,45.55,183.77,16.96
63,3-Jul-20,EQ,"2,165.50","2,188.00","2,156.35","2,151.75","2,172.30","2,173.70","2,172.74","2,614.30","1,659.05",1946326,"4,228,865,039.15",84127,69.82653389,1,45.55,183.77,16.96
64,6-Jul-20,EQ,"2,180.00","2,180.00","2,153.00","2,173.70","2,162.00","2,161.60","2,161.27","2,614.30","1,659.05",2375701,"5,134,520,628.30",106168,69.43784131,1,45.55,183.77,16.96
65,7-Jul-20,EQ,"2,175.50","2,175.50","2,151.65","2,161.60","2,153.95","2,154.15","2,158.47","2,614.30","1,659.05",2014697,"4,348,666,864.20",101569,69.19852233,1,45.55,183.77,16.96
66,8-Jul-20,EQ,"2,153.60","2,194.00","2,125.00","2,154.15","2,182.00","2,186.05","2,170.33","2,614.30","1,659.05",3350115,"7,270,846,471.05",137320,70.22325731,1,45.55,183.77,16.96
67,9-Jul-20,EQ,"2,183.00","2,219.95","2,171.05","2,186.05","2,180.00","2,175.85","2,191.62","2,614.30","1,659.05",3039821,"6,662,121,971.35",141677,69.8955991,1,45.55,183.77,16.96
68,10-Jul-20,EQ,"2,170.00","2,232.00","2,167.45","2,175.85","2,230.10","2,223.80","2,206.50","2,614.30","1,659.05",3179517,"7,015,597,810.80",134655,71.43591391,1,45.55,183.77,16.96
69,13-Jul-20,EQ,"2,239.00","2,275.00","2,235.00","2,223.80","2,263.00","2,265.25","2,259.61","2,614.30","1,659.05",4556688,"10,296,338,551.00",158470,72.76742692,1,45.55,183.77,16.96
70,14-Jul-20,EQ,"2,264.80","2,269.95","2,226.60","2,265.25","2,227.35","2,234.75","2,246.57","2,614.30","1,659.05",2403257,"5,399,091,641.15",128919,71.78766463,1,45.55,183.77,16.96
71,15-Jul-20,EQ,"2,237.25","2,291.00","2,235.05","2,234.75","2,272.15","2,275.15","2,268.55","2,614.30","1,659.05",2474553,"5,613,648,679.30",97827,73.08544812,1,45.55,183.77,16.96
72,16-Jul-20,EQ,"2,275.25","2,291.30","2,238.00","2,275.15","2,281.95","2,287.85","2,272.17","2,614.30","1,659.05",2495150,"5,669,398,299.35",92681,73.49341471,1,45.55,183.77,16.96
73,17-Jul-20,EQ,"2,285.00","2,340.00","2,281.00","2,287.85","2,332.35","2,334.55","2,323.34","2,614.30","1,659.05",3088773,"7,176,264,588.00",158916,74.99357533,1,45.55,183.77,16.96
74,20-Jul-20,EQ,"2,334.55","2,343.30","2,300.60","2,334.55","2,330.00","2,330.95","2,323.21","2,614.30","1,659.05",2816285,"6,542,822,417.45",128458,74.87793126,1,45.55,183.77,16.96
75,21-Jul-20,EQ,"2,348.00","2,350.00","2,308.00","2,330.95","2,316.65","2,318.00","2,323.93","2,614.30","1,659.05",3037830,"7,059,705,689.30",120286,74.46193383,1,45.55,183.77,16.96
76,22-Jul-20,EQ,"2,330.00","2,330.00","2,241.25","2,318.00","2,247.00","2,248.50","2,265.67","2,614.30","1,659.05",6950011,"15,746,434,112.75",300035,72.22936075,1,45.55,183.77,16.96
77,23-Jul-20,EQ,"2,260.00","2,267.15","2,205.55","2,248.50","2,216.40","2,211.35","2,232.11","2,614.30","1,659.05",3936886,"8,787,544,292.75",171067,71.03597816,1,45.55,183.77,16.96
78,24-Jul-20,EQ,"2,200.00","2,220.00","2,168.05","2,211.35","2,209.00","2,209.30","2,192.34","2,614.30","1,659.05",4203390,"9,215,253,270.65",143884,70.97012528,1,45.55,183.77,16.96
79,27-Jul-20,EQ,"2,217.75","2,235.95","2,184.75","2,209.30","2,221.50","2,221.50","2,217.25","2,614.30","1,700.00",2209431,"4,898,869,145.15",97258,71.3620302,1,45.55,183.77,16.96
80,28-Jul-20,EQ,"2,230.95","2,244.90","2,211.05","2,221.50","2,243.50","2,242.55","2,233.78","2,614.30","1,700.00",1567889,"3,502,315,373.15",66747,72.03822679,1,45.55,183.77,16.96
81,29-Jul-20,EQ,"2,235.00","2,262.20","2,215.00","2,242.55","2,234.00","2,231.30","2,239.80","2,614.30","1,700.00",2404989,"5,386,685,442.65",99243,71.67683906,1,45.55,183.77,16.96
82,30-Jul-20,EQ,"2,231.30","2,238.05","2,190.10","2,231.30","2,194.00","2,195.60","2,214.19","2,614.30","1,700.00",2046188,"4,530,658,177.40",106202,70.53003534,1,45.55,183.77,16.96
