SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
1,31-Mar-20,EQ,"1,837.40","1,855.00","1,780.00","1,778.50","1,819.00","1,826.10","1,824.45","2,296.20","1,506.05",3927593,"7,165,706,825.15",190774,20.60130866,1,112.22,418.26,20.6
2,1-Apr-20,EQ,"1,825.90","1,834.75","1,702.00","1,826.10","1,714.00","1,708.75","1,763.66","2,296.20","1,506.05",4941898,"8,715,811,596.15",221364,19.27741426,1,112.22,418.26,20.6
3,3-Apr-20,EQ,"1,740.00","1,740.00","1,650.00","1,708.75","1,659.00","1,654.20","1,688.30","2,296.20","1,506.05",5735529,"9,683,316,717.35",244588,18.66200361,1,112.22,418.26,20.6
4,7-Apr-20,EQ,"1,710.00","1,785.85","1,705.00","1,654.20","1,765.85","1,775.20","1,747.20","2,296.20","1,506.05",5427965,"9,483,750,315.95",232534,20.02707581,1,112.22,418.26,20.6
5,8-Apr-20,EQ,"1,760.00","1,806.00","1,701.00","1,775.20","1,708.00","1,705.45","1,736.76","2,296.20","1,506.05",6285616,"10,916,585,385.25",276600,19.24018502,1,112.22,418.26,20.6
6,9-Apr-20,EQ,"1,750.45","1,778.80","1,731.20","1,705.45","1,761.00","1,766.15","1,759.13","2,296.20","1,506.05",5307649,"9,336,868,535.45",184889,19.92497744,1,112.22,418.26,20.6
7,13-Apr-20,EQ,"1,761.00","1,787.00","1,746.00","1,766.15","1,761.60","1,759.25","1,761.05","2,296.20","1,506.05",2990478,"5,266,381,662.60",105582,19.84713448,1,112.22,418.26,20.6
8,15-Apr-20,EQ,"1,785.00","1,812.00","1,727.80","1,759.25","1,735.00","1,735.15","1,774.09","2,296.20","1,506.05",4761401,"8,447,176,543.00",196087,19.57524819,1,112.22,418.26,20.6
9,16-Apr-20,EQ,"1,709.95","1,764.90","1,675.05","1,735.15","1,720.50","1,716.05","1,720.54","2,296.20","1,506.05",6245583,"10,745,755,665.25",284814,19.35976986,1,112.22,418.26,20.6
10,17-Apr-20,EQ,"1,800.00","1,851.95","1,753.00","1,716.05","1,810.00","1,806.20","1,815.31","2,296.20","1,506.05",9895825,"17,964,025,727.10",363192,20.37680505,1,112.22,418.26,20.6
11,20-Apr-20,EQ,"1,830.00","1,830.00","1,802.50","1,806.20","1,818.60","1,818.65","1,815.63","2,296.20","1,506.05",3244293,"5,890,435,540.80",136285,20.51726083,1,112.22,418.26,20.6
12,21-Apr-20,EQ,"1,765.00","1,794.60","1,727.70","1,818.65","1,737.75","1,737.65","1,749.84","2,296.20","1,506.05",5122606,"8,963,743,508.55",190349,19.60345217,1,112.22,418.26,20.6
13,22-Apr-20,EQ,"1,737.65","1,790.00","1,719.15","1,737.65","1,773.00","1,769.50","1,754.72","2,296.20","1,506.05",3829839,"6,720,279,557.60",180947,19.96277076,1,112.22,418.26,20.6
14,23-Apr-20,EQ,"1,780.00","1,900.00","1,760.85","1,769.50","1,867.10","1,878.25","1,844.03","2,296.20","1,506.05",5934424,"10,943,235,329.50",257398,21.1896435,1,112.22,418.26,20.6
15,24-Apr-20,EQ,"1,840.70","1,851.95","1,807.80","1,878.25","1,821.00","1,818.55","1,825.54","2,296.20","1,506.05",2987150,"5,453,169,062.40",142967,20.51613267,1,112.22,418.26,20.6
16,27-Apr-20,EQ,"1,832.30","1,875.00","1,825.00","1,818.55","1,834.00","1,836.60","1,853.60","2,296.20","1,506.05",3374747,"6,255,422,140.55",140822,20.71976534,1,112.22,418.26,20.6
17,28-Apr-20,EQ,"1,865.00","1,868.00","1,832.60","1,836.60","1,865.00","1,859.05","1,851.06","2,296.20","1,506.05",2678512,"4,958,095,389.70",117278,20.973037,1,112.22,418.26,20.6
18,29-Apr-20,EQ,"1,874.00","1,912.55","1,850.05","1,859.05","1,903.00","1,905.65","1,882.90","2,296.20","1,506.05",4241579,"7,986,490,066.35",158389,21.49875903,1,112.22,418.26,20.6
19,30-Apr-20,EQ,"1,980.00","2,032.00","1,942.20","1,905.65","2,019.55","2,014.45","1,989.49","2,296.20","1,506.05",5915950,"11,769,706,997.75",241064,22.72619585,1,112.22,418.26,20.6
20,4-May-20,EQ,"1,966.00","1,966.00","1,913.65","2,014.45","1,930.50","1,930.45","1,939.30","2,296.20","1,506.05",3729409,"7,232,442,404.05",165528,21.77854242,1,112.22,418.26,20.6
21,5-May-20,EQ,"1,955.10","1,977.00","1,927.00","1,930.45","1,932.75","1,932.75","1,952.86","2,296.20","1,506.05",2905541,"5,674,116,774.20",147469,21.80449007,1,112.22,418.26,20.6
22,6-May-20,EQ,"1,939.80","1,953.70","1,893.60","1,932.75","1,908.50","1,903.60","1,920.77","2,296.20","1,506.05",3517432,"6,756,179,815.55",172517,21.47563177,1,112.22,418.26,20.6
23,7-May-20,EQ,"1,910.00","1,934.45","1,883.35","1,903.60","1,895.95","1,891.65","1,909.43","2,296.20","1,506.05",3166784,"6,046,765,457.30",154795,21.34081679,1,112.22,418.26,20.6
24,8-May-20,EQ,"1,939.10","1,939.50","1,886.25","1,891.65","1,897.00","1,893.40","1,902.14","2,296.20","1,506.05",2686536,"5,110,170,290.65",122431,21.36055957,1,112.22,418.26,20.6
25,11-May-20,EQ,"1,909.00","1,951.40","1,909.00","1,893.40","1,936.00","1,935.30","1,939.47","2,296.20","1,506.05",2449846,"4,751,415,048.95",120116,21.83325812,1,112.22,418.26,20.6
26,12-May-20,EQ,"1,933.40","1,956.50","1,910.25","1,935.30","1,948.00","1,949.50","1,941.23","2,296.20","1,506.05",3256630,"6,321,867,053.10",177881,21.99345668,1,112.22,418.26,20.6
27,13-May-20,EQ,"1,994.00","1,994.00","1,925.65","1,949.50","1,944.50","1,949.65","1,946.67","2,296.20","1,506.05",2656665,"5,171,649,640.05",127103,21.99514892,1,112.22,418.26,20.6
28,14-May-20,EQ,"1,910.00","1,923.10","1,891.10","1,949.65","1,902.00","1,902.35","1,905.48","2,296.20","1,506.05",2263204,"4,312,480,668.25",111897,21.46152978,1,112.22,418.26,20.6
29,15-May-20,EQ,"1,916.00","1,917.40","1,865.20","1,902.35","1,903.00","1,892.90","1,884.25","2,296.20","1,506.05",3173682,"5,980,003,285.00",157447,21.35491877,1,112.22,418.26,20.6
30,18-May-20,EQ,"1,907.00","1,952.95","1,872.10","1,892.90","1,940.05","1,945.60","1,921.10","2,296.20","1,506.05",3727896,"7,161,666,967.25",158352,21.94945848,1,112.22,418.26,20.6
31,19-May-20,EQ,"1,903.00","1,966.45","1,903.00","1,945.60","1,948.10","1,948.65","1,945.90","2,296.20","1,506.05",3198699,"6,224,360,593.35",148060,21.98386733,1,112.22,418.26,20.6
32,20-May-20,EQ,"1,950.00","1,962.90","1,931.70","1,948.65","1,953.55","1,953.60","1,946.92","2,296.20","1,506.05",2778505,"5,409,514,559.25",130438,22.03971119,1,112.22,418.26,20.6
33,21-May-20,EQ,"1,946.00","1,998.00","1,941.15","1,953.60","1,990.10","1,991.20","1,977.64","2,296.20","1,506.05",3400925,"6,725,802,265.75",125723,22.46389892,1,112.22,418.26,20.6
34,22-May-20,EQ,"1,977.10","2,032.00","1,961.25","1,991.20","2,015.15","2,020.35","2,005.12","2,296.20","1,506.05",3663422,"7,345,594,790.65",129277,22.79275722,1,112.22,418.26,20.6
35,26-May-20,EQ,"2,015.00","2,024.00","1,925.00","2,020.35","1,948.95","1,943.00","1,969.21","2,296.20","1,506.05",4575512,"9,010,142,134.85",170636,21.92012635,1,112.22,418.26,20.6
36,27-May-20,EQ,"1,959.00","2,010.00","1,941.25","1,943.00","2,008.00","2,005.30","1,975.64","2,296.20","1,506.05",3482185,"6,879,539,543.00",131846,22.62296931,1,112.22,418.26,20.6
37,28-May-20,EQ,"1,988.50","2,014.00","1,971.30","2,005.30","2,006.25","2,004.30","1,988.53","2,296.20","1,506.05",3475788,"6,911,722,437.65",149827,22.61168773,1,112.22,418.26,20.6
38,29-May-20,EQ,"1,982.00","2,002.65","1,962.40","2,004.30","1,980.90","1,972.35","1,977.79","2,296.20","1,506.05",7237765,"14,314,766,618.10",180576,22.25124097,1,112.22,418.26,20.6
39,1-Jun-20,EQ,"1,990.00","2,060.00","1,981.10","1,972.35","2,038.00","2,045.25","2,033.41","2,296.20","1,506.05",3747850,"7,620,914,144.30",146513,23.07366877,1,112.22,418.26,20.6
40,2-Jun-20,EQ,"2,060.20","2,081.00","2,040.05","2,045.25","2,049.95","2,047.15","2,057.96","2,296.20","1,506.05",2443886,"5,029,413,812.55",116685,23.09510379,1,112.22,418.26,20.6
41,3-Jun-20,EQ,"2,051.85","2,063.75","2,020.00","2,047.15","2,048.00","2,046.15","2,038.22","2,296.20","1,506.05",3699799,"7,540,990,258.25",154423,23.0838222,1,112.22,418.26,20.6
42,4-Jun-20,EQ,"2,046.75","2,100.00","2,046.75","2,046.15","2,094.95","2,091.55","2,075.82","2,296.20","1,506.05",4048593,"8,404,139,687.85",147400,23.59600632,1,112.22,418.26,20.6
43,5-Jun-20,EQ,"2,091.60","2,098.00","2,040.30","2,091.55","2,053.00","2,048.25","2,054.59","2,296.20","1,506.05",3573299,"7,341,657,005.90",143792,23.10751354,1,112.22,418.26,20.6
44,8-Jun-20,EQ,"2,078.25","2,095.00","2,062.10","2,048.25","2,070.00","2,071.75","2,078.75","2,296.20","1,506.05",2957841,"6,148,612,154.35",108037,23.37263087,1,112.22,418.26,20.6
45,9-Jun-20,EQ,"2,063.10","2,095.50","2,060.25","2,071.75","2,075.00","2,072.05","2,079.22","2,296.20","1,506.05",2910152,"6,050,853,764.50",150567,23.37601534,1,112.22,418.26,20.6
46,10-Jun-20,EQ,"2,077.05","2,132.00","2,073.50","2,072.05","2,109.00","2,108.75","2,108.53","2,296.20","1,506.05",5168494,"10,897,927,412.75",187675,23.79004964,1,112.22,418.26,20.6
47,11-Jun-20,EQ,"2,100.00","2,105.00","2,061.80","2,108.75","2,069.00","2,067.65","2,077.30","2,296.20","1,506.05",2269569,"4,714,585,319.90",100095,23.32637635,1,112.22,418.26,20.6
48,12-Jun-20,EQ,"2,011.20","2,049.20","2,011.00","2,067.65","2,037.60","2,039.50","2,026.47","2,296.20","1,506.05",2842757,"5,760,775,770.15",130558,23.00879964,1,112.22,418.26,20.6
49,15-Jun-20,EQ,"2,039.10","2,059.00","2,000.95","2,039.50","2,036.20","2,029.90","2,027.78","2,296.20","1,506.05",2399028,"4,864,706,967.65",97163,22.90049639,1,112.22,418.26,20.6
50,16-Jun-20,EQ,"2,065.00","2,073.95","2,031.00","2,029.90","2,041.80","2,045.80","2,051.87","2,296.20","1,506.05",2146528,"4,404,387,581.95",89213,23.07987365,1,112.22,418.26,20.6
51,17-Jun-20,EQ,"2,046.00","2,058.85","2,026.55","2,045.80","2,048.00","2,047.80","2,042.73","2,296.20","1,506.05",2703546,"5,522,609,994.85",92658,23.10243682,1,112.22,418.26,20.6
52,18-Jun-20,EQ,"2,045.00","2,059.20","2,025.20","2,047.80","2,036.20","2,038.10","2,039.63","2,296.20","1,506.05",1944471,"3,966,007,263.55",77874,22.99300542,1,112.22,418.26,20.6
53,19-Jun-20,EQ,"2,042.00","2,090.00","2,032.00","2,038.10","2,043.65","2,044.60","2,050.29","2,296.20","1,506.05",5681784,"11,649,300,600.55",152183,23.06633574,1,112.22,418.26,20.6
54,22-Jun-20,EQ,"2,050.00","2,052.25","2,019.15","2,044.60","2,032.00","2,027.95","2,033.74","2,296.20","1,506.05",3196138,"6,500,116,008.40",109018,22.87849729,1,112.22,418.26,20.6
55,23-Jun-20,EQ,"2,027.00","2,044.00","2,010.00","2,027.95","2,039.00","2,035.30","2,027.43","2,296.20","1,506.05",4206122,"8,527,623,665.40",136481,22.96141697,1,112.22,418.26,20.6
56,24-Jun-20,EQ,"2,034.00","2,064.25","2,031.60","2,035.30","2,042.00","2,042.20","2,052.03","2,296.20","1,506.05",2560951,"5,255,143,082.70",125500,23.03925993,1,112.22,418.26,20.6
57,25-Jun-20,EQ,"2,035.00","2,060.00","2,009.25","2,042.20","2,015.40","2,016.10","2,033.26","2,296.20","1,506.05",3044089,"6,189,426,011.20",127554,22.74481047,1,112.22,418.26,20.6
58,26-Jun-20,EQ,"2,025.00","2,132.00","2,019.95","2,016.10","2,115.20","2,118.85","2,095.55","2,296.20","1,506.05",6300912,"13,203,873,993.95",237429,23.90399368,1,112.22,418.26,20.6
59,29-Jun-20,EQ,"2,108.00","2,127.60","2,091.30","2,118.85","2,103.45","2,101.65","2,104.79","2,296.20","1,506.05",3076344,"6,475,066,353.75",109993,23.70995036,1,112.22,418.26,20.6
60,30-Jun-20,EQ,"2,100.00","2,111.90","2,075.05","2,101.65","2,085.05","2,082.15","2,091.70","2,296.20","1,506.05",3071877,"6,425,458,895.35",121691,23.48995939,1,112.22,418.26,20.6
61,1-Jul-20,EQ,"2,079.70","2,113.95","2,079.50","2,082.15","2,095.00","2,092.05","2,100.06","2,296.20","1,506.05",2503466,"5,257,440,478.80",103067,23.60164711,1,112.22,418.26,20.6
62,2-Jul-20,EQ,"2,102.00","2,165.00","2,098.00","2,092.05","2,159.00","2,157.15","2,143.79","2,296.20","1,506.05",3758709,"8,057,866,454.25",140145,24.33607852,1,112.22,418.26,20.6
63,3-Jul-20,EQ,"2,163.65","2,205.00","2,160.25","2,157.15","2,195.00","2,199.65","2,188.80","2,296.20","1,506.05",4185215,"9,160,581,121.55",130448,24.81554603,1,112.22,418.26,20.6
64,6-Jul-20,EQ,"2,205.00","2,269.90","2,205.00","2,199.65","2,261.00","2,263.20","2,247.63","2,296.20","1,506.05",5190366,"11,666,032,835.75",161168,25.53249097,1,112.22,418.26,20.6
65,7-Jul-20,EQ,"2,275.00","2,302.70","2,232.15","2,263.20","2,269.90","2,269.90","2,263.92","2,302.70","1,506.05",5630081,"12,746,071,795.85",206374,25.60807762,1,112.22,418.26,20.6
66,8-Jul-20,EQ,"2,270.00","2,274.40","2,207.60","2,269.90","2,219.00","2,218.90","2,240.93","2,302.70","1,506.05",2793674,"6,260,425,745.30",130484,25.03271661,1,112.22,418.26,20.6
67,9-Jul-20,EQ,"2,229.00","2,244.50","2,191.05","2,218.90","2,212.50","2,204.35","2,209.06","2,302.70","1,506.05",3443998,"7,608,014,933.10",133367,24.86856949,1,112.22,418.26,20.6
68,10-Jul-20,EQ,"2,205.25","2,249.85","2,176.00","2,204.35","2,221.10","2,222.35","2,210.93","2,302.70","1,506.05",9610327,"21,247,734,506.45",292369,25.07163809,1,112.22,418.26,20.6
69,13-Jul-20,EQ,"2,220.00","2,244.95","2,210.00","2,222.35","2,222.25","2,220.00","2,225.83","2,302.70","1,506.05",2963525,"6,596,301,813.00",100495,25.04512635,1,112.22,418.26,20.6
70,14-Jul-20,EQ,"2,210.00","2,239.00","2,165.00","2,220.00","2,175.00","2,171.95","2,199.60","2,302.70","1,506.05",2976749,"6,547,668,459.85",117480,24.50304603,1,112.22,418.26,20.6
71,15-Jul-20,EQ,"2,185.00","2,260.00","2,181.10","2,171.95","2,231.10","2,233.90","2,228.76","2,302.70","1,506.05",5569322,"12,412,685,911.00",201144,25.20194043,1,112.22,418.26,20.6
72,16-Jul-20,EQ,"2,244.00","2,333.00","2,220.10","2,233.90","2,233.00","2,234.75","2,275.23","2,333.00","1,506.05",8582120,"19,526,280,238.75",279321,25.21152978,1,112.22,418.26,20.6
73,17-Jul-20,EQ,"2,237.00","2,243.90","2,190.05","2,234.75","2,207.90","2,200.75","2,204.05","2,333.00","1,506.05",4509143,"9,938,360,278.70",183317,24.82795578,1,112.22,418.26,20.6
74,20-Jul-20,EQ,"2,201.00","2,226.90","2,190.80","2,200.75","2,214.00","2,207.90","2,205.50","2,333.00","1,506.05",2952719,"6,512,221,316.75",99805,24.90861913,1,112.22,418.26,20.6
75,21-Jul-20,EQ,"2,230.00","2,238.65","2,201.15","2,207.90","2,224.55","2,225.05","2,220.42","2,333.00","1,506.05",2665386,"5,918,277,153.05",128640,25.10209838,1,112.22,418.26,20.6
76,22-Jul-20,EQ,"2,231.00","2,231.00","2,184.20","2,225.05","2,190.00","2,190.95","2,199.54","2,333.00","1,506.05",2861698,"6,294,421,979.40",108851,24.71739621,1,112.22,418.26,20.6
77,23-Jul-20,EQ,"2,190.95","2,190.95","2,163.00","2,190.95","2,174.20","2,171.20","2,175.33","2,333.00","1,506.05",2265791,"4,928,835,981.45",100469,24.49458484,1,112.22,418.26,20.6
78,24-Jul-20,EQ,"2,154.50","2,163.00","2,125.10","2,171.20","2,158.80","2,157.40","2,143.70","2,333.00","1,506.05",3665123,"7,856,912,134.45",154927,24.33889892,1,112.22,418.26,20.6
79,27-Jul-20,EQ,"2,165.00","2,215.00","2,163.50","2,157.40","2,205.00","2,206.80","2,196.82","2,333.00","1,506.05",4248837,"9,333,922,682.60",185606,24.89620939,1,112.22,418.26,20.6
80,28-Jul-20,EQ,"2,215.00","2,320.00","2,215.00","2,206.80","2,310.20","2,309.75","2,273.26","2,333.00","1,506.05",8092458,"18,396,258,568.50",261902,26.05764892,1,112.22,418.26,20.6
81,29-Jul-20,EQ,"2,292.00","2,342.00","2,246.05","2,309.75","2,279.00","2,276.05","2,291.87","2,342.00","1,506.05",6090440,"13,958,512,382.70",231420,25.67745939,1,112.22,418.26,20.6
82,30-Jul-20,EQ,"2,285.90","2,358.00","2,272.25","2,276.05","2,281.00","2,279.50","2,315.35","2,358.00","1,506.05",7098913,"16,436,494,607.90",252271,25.71638087,1,112.22,418.26,20.6
83,31-Jul-20,EQ,"2,303.15","2,334.80","2,257.45","2,279.50","2,290.45","2,281.40","2,295.95","2,358.00","1,506.05",4723290,"10,844,452,626.95",183229,25.73781588,1,112.22,418.26,20.6
